TopicName,Date,Language,Region,Status,StudentId
Data Visualization,01 Dec 2024,English,Delhi,Pending,6749d45eb6789fdbbe7a62b3
DevOps Practices,20 Nov 2024,Bengali,Bangalore,Pending,6749d45eb6789fdbbe7a62ad
Advanced Python,01 Nov 2024,English,Kolkata,Pending,674849b533e955f15bf88561
Natural Language Processing,09 Dec 2024,Hindi,Jaipur,Pending,6749d45eb6789fdbbe7a62af
Blockchain Basics,30 Nov 2024,Malayalam,Bangalore,Pending,67483da833e955f15bf88551
Blockchain Basics,03 Nov 2024,Kannada,Ahmedabad,Pending,67483da833e955f15bf88551
Natural Language Processing,04 Nov 2024,Malayalam,Pune,Pending,6749d45eb6789fdbbe7a62b3
Machine Learning Basics,25 Nov 2024,Malayalam,Ahmedabad,Pending,6749d45eb6789fdbbe7a62a8
Big Data Analytics,06 Dec 2024,English,Kolkata,Pending,6749d45eb6789fdbbe7a62b9
Data Visualization,24 Dec 2024,Marathi,Ahmedabad,Pending,6749d45eb6789fdbbe7a62aa
IoT and Smart Devices,30 Nov 2024,Telugu,Mumbai,Pending,67483da833e955f15bf88551
Neural Networks,05 Dec 2024,Tamil,Hyderabad,Pending,6749d45eb6789fdbbe7a62af
Machine Learning Basics,12 Dec 2024,Telugu,Chennai,Pending,6749d45eb6789fdbbe7a62ba
Neural Networks,31 Oct 2024,Telugu,Hyderabad,Pending,6749d45eb6789fdbbe7a62b3
Blockchain Basics,15 Dec 2024,Marathi,Kolkata,Pending,6742b013cd838392a632979e
Natural Language Processing,21 Nov 2024,Gujarati,Pune,Pending,6749d45eb6789fdbbe7a62ae
Natural Language Processing,15 Dec 2024,Malayalam,Pune,Pending,6742afc6cd838392a6329796
Cybersecurity Fundamentals,31 Oct 2024,Bengali,Bangalore,Pending,6742afc6cd838392a6329796
Mobile App Development,27 Nov 2024,Tamil,Jaipur,Pending,6749d45eb6789fdbbe7a62ae
Blockchain Basics,21 Dec 2024,English,Mumbai,Pending,67483da833e955f15bf88551
